"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-13","4.6","3.0","0.0","0.0",,"6.1","0.6","    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-14","3.5","0.0","0.0","0.0",,"9.4","1.7",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-15","3.9","0.0","0.0","0.0",,"9.4","-1.7",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-16","3.9","0.0","0.0","0.0",,"17.2","2.2",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-17","3.8","0.0","0.0","0.0",,"22.2","7.8",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-18","2.8","0.0","0.0","0.0",,"23.9","9.4",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-19","3.6","0.0","0.0","0.0",,"30.6","11.7",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-20","4.5","0.0","0.0","0.0",,"23.9","9.4",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-21","3.9","0.0","0.0","0.0",,"25.0","12.2",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-22","2.9","0.0","0.0","0.0",,"25.0","12.2",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-23","4.0","0.0","0.0","0.0",,"21.1","9.4",,,,,,,,,,,,,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-24","3.6","0.0","0.0","0.0",,"20.6","5.0",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-25","3.4","0.0","0.0","0.0",,"23.3","11.1",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-26","6.4","0.3","0.0","0.0",,"26.1","9.4","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-27","4.1","0.0","0.0","0.0",,"15.6","7.2",,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-28","5.1","11.7","0.0","0.0",,"11.1","3.9","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-29","4.0","1.3","0.0","0.0",,"9.4","0.6","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL NY US","42.9408","-78.7358","218.2","2008-04-30","3.9","0.0","0.0","0.0",,"8.9","-1.1",,,,,,,,,,,,,,,,,,
